Pais,Encuesta,access_right,Ronda armonizada BID,Total,year,availability,person
BHS,LFS,restricted,a,13,2022,,
BLZ,LFS,restricted,m4,7,1986,,
BLZ,LFS,restricted,m4,7,1989,,
BLZ,LFS,restricted,m4,7,1990,,
BLZ,LFS,restricted,m4,7,1991,,
BLZ,LFS,restricted,m4,7,1992,,
BLZ,LFS,,m4,7,1993,1.0,
BLZ,LFS,,m4,7,1994,1.0,
BLZ,LFS,,m4,7,1995,1.0,
BLZ,LFS,,m4,7,1996,1.0,
BLZ,LFS,,m4,7,1997,1.0,
BLZ,LFS,,m4,7,1998,1.0,
BLZ,LFS,,m4,7,1999,1.0,
BLZ,LFS,restricted,m4,7,2000,,
BLZ,LFS,restricted,m4,7,2001,,
BLZ,LFS,restricted,m4,7,2002,,
BLZ,LFS,restricted,m4,7,2003,,
BLZ,LFS,restricted,m4,7,2004,,
BLZ,LFS,restricted,m4,7,2005,,
BLZ,LFS,restricted,m4,7,2006,,
BLZ,LFS,restricted,m4,7,2007,,
BLZ,LFS,restricted,m4,7,2008,,
BLZ,LFS,restricted,m4,7,2009,,
BLZ,LFS,restricted,m4,7,2010,,
BLZ,LFS,restricted,m4,7,2011,,
BLZ,LFS,restricted,m4,7,2012,,
BLZ,LFS,restricted,m4,7,2013,,
BLZ,LFS,restricted,m4,7,2014,,
BLZ,LFS,restricted,m4,7,2015,,
BLZ,LFS,restricted,m4,7,2016,,
BLZ,LFS,restricted,m4,7,2017,,
BLZ,LFS,,a,5,2001,1.0,
BLZ,LFS,restricted,m4,7,2019,,
BLZ,LFS,restricted,m4,7,2020,,
BLZ,LFS,restricted,m4,7,2021,,
BLZ,LFS,restricted,m4,7,2022,,
BLZ,LFS,restricted,a,5,1986,,
BLZ,LFS,restricted,a,5,1989,,
BLZ,LFS,restricted,a,5,1990,,
BLZ,LFS,restricted,a,5,1991,,
BLZ,LFS,restricted,a,5,1992,,
BLZ,LFS,restricted,a,5,1993,,
BLZ,LFS,restricted,a,5,1994,,
BLZ,LFS,restricted,a,5,1995,,
BLZ,LFS,restricted,a,5,1996,,
BLZ,LFS,restricted,a,5,1997,,
BLZ,LFS,restricted,a,5,1998,,
BLZ,LFS,restricted,a,5,1999,,
BLZ,LFS,restricted,a,5,2000,,
BLZ,LFS,,a,5,2002,1.0,
BLZ,LFS,,a,5,2003,1.0,
BLZ,LFS,,a,5,2004,1.0,
BLZ,LFS,,a,5,2005,1.0,
BLZ,LFS,,m10,1,2007,1.0,
BLZ,LFS,restricted,a,5,2006,,
BLZ,LFS,restricted,a,5,2007,,
BLZ,LFS,restricted,a,5,2008,,
BLZ,LFS,restricted,a,5,2009,,
BLZ,LFS,restricted,a,5,2010,,
BLZ,LFS,restricted,a,5,2011,,
BLZ,LFS,restricted,a,5,2012,,
BLZ,LFS,restricted,a,5,2013,,
BLZ,LFS,restricted,a,5,2014,,
BLZ,LFS,restricted,a,5,2015,,
BLZ,LFS,restricted,a,5,2016,,
BLZ,LFS,restricted,a,5,2017,,
BLZ,LFS,restricted,a,5,2018,,
BLZ,LFS,restricted,a,5,2019,,
BLZ,LFS,restricted,a,5,2020,,
BLZ,LFS,restricted,a,5,2021,,
BLZ,LFS,restricted,a,5,2022,,
BLZ,LFS,restricted,m10,1,1986,,
BLZ,LFS,restricted,m10,1,1989,,
BLZ,LFS,restricted,m10,1,1990,,
BLZ,LFS,restricted,m10,1,1991,,
BLZ,LFS,restricted,m10,1,1992,,
BLZ,LFS,restricted,m10,1,1993,,
BLZ,LFS,restricted,m10,1,1994,,
BLZ,LFS,restricted,m10,1,1995,,
BLZ,LFS,restricted,m10,1,1996,,
BLZ,LFS,restricted,m10,1,1997,,
BLZ,LFS,restricted,m10,1,1998,,
BLZ,LFS,restricted,m10,1,1999,,
BLZ,LFS,restricted,m10,1,2000,,
BLZ,LFS,restricted,m10,1,2001,,
BLZ,LFS,restricted,m10,1,2002,,
BLZ,LFS,restricted,m10,1,2003,,
BLZ,LFS,restricted,m10,1,2004,,
BLZ,LFS,restricted,m10,1,2005,,
BLZ,LFS,restricted,m10,1,2006,,
BLZ,LFS,,m4,7,2018,1.0,
BLZ,LFS,restricted,m10,1,2008,,
BLZ,LFS,restricted,m10,1,2009,,
BLZ,LFS,restricted,m10,1,2010,,
BLZ,LFS,restricted,m10,1,2011,,
BLZ,LFS,restricted,m10,1,2012,,
BLZ,LFS,restricted,m10,1,2013,,
BLZ,LFS,restricted,m10,1,2014,,
BLZ,LFS,restricted,m10,1,2015,,
BLZ,LFS,restricted,m10,1,2016,,
BLZ,LFS,restricted,m10,1,2017,,
BLZ,LFS,restricted,m10,1,2018,,
BLZ,LFS,restricted,m10,1,2019,,
BLZ,LFS,restricted,m10,1,2020,,
BLZ,LFS,restricted,m10,1,2021,,
BLZ,LFS,restricted,m10,1,2022,,
BOL,EIH,,m11,4,1986,,
BOL,EIH,,m11,4,1989,,
BOL,EIH,,m11,4,1990,1.0,
BOL,EIH,,m11,4,1991,1.0,
BOL,EIH,,m11,4,1992,1.0,
BOL,EIH,,m11,4,1993,1.0,
BOL,EIH,,m11,4,1994,,
BOL,EIH,,m11,4,1995,,
BOL,EIH,,m11,4,1996,,
BOL,EIH,,m11,4,1997,,
BOL,EIH,,m11,4,1998,,
BOL,EIH,,m11,4,1999,,
BOL,EIH,,m11,4,2000,,
BOL,EIH,,m11,4,2001,,
BOL,EIH,,m11,4,2002,,
BOL,EIH,,m11,4,2003,,
BOL,EIH,,m11,4,2004,,
BOL,EIH,,m11,4,2005,,
BOL,EIH,,m11,4,2006,,
BOL,EIH,,m11,4,2007,,
BOL,EIH,,m11,4,2008,,
BOL,EIH,,m11,4,2009,,
BOL,EIH,,m11,4,2010,,
BOL,EIH,,m11,4,2011,,
BOL,EIH,,m11,4,2012,,
BOL,EIH,,m11,4,2013,,
BOL,EIH,,m11,4,2014,,
BOL,EIH,,m11,4,2015,,
BOL,EIH,,m11,4,2016,,
BOL,EIH,,m11,4,2017,,
BOL,EIH,,m11,4,2018,,
BOL,EIH,,m11,4,2019,,
BOL,EIH,,m11,4,2020,,
BOL,EIH,,m11,4,2021,,
BOL,EIH,,m11,4,2022,,
BOL,EIH,,m7_m12,1,1986,,
BOL,EIH,,m7_m12,1,1989,,
BOL,EIH,,m7_m12,1,1990,,
BOL,EIH,,m7_m12,1,1991,,
BOL,EIH,,m7_m12,1,1992,,
BOL,EIH,,m7_m12,1,1993,,
BOL,EIH,,m7_m12,1,1994,1.0,
BOL,EIH,,m7_m12,1,1995,,
BOL,EIH,,m7_m12,1,1996,,
BOL,EIH,,m7_m12,1,1997,,
BOL,EIH,,m7_m12,1,1998,,
BOL,EIH,,m7_m12,1,1999,,
BOL,EIH,,m7_m12,1,2000,,
BOL,EIH,,m7_m12,1,2001,,
BOL,EIH,,m7_m12,1,2002,,
BOL,EIH,,m7_m12,1,2003,,
BOL,EIH,,m7_m12,1,2004,,
BOL,EIH,,m7_m12,1,2005,,
BOL,EIH,,m7_m12,1,2006,,
BOL,EIH,,m7_m12,1,2007,,
BOL,EIH,,m7_m12,1,2008,,
BOL,EIH,,m7_m12,1,2009,,
BOL,EIH,,m7_m12,1,2010,,
BOL,EIH,,m7_m12,1,2011,,
BOL,EIH,,m7_m12,1,2012,,
BOL,EIH,,m7_m12,1,2013,,
BOL,EIH,,m7_m12,1,2014,,
BOL,EIH,,m7_m12,1,2015,,
BOL,EIH,,m7_m12,1,2016,,
BOL,EIH,,m7_m12,1,2017,,
BOL,EIH,,m7_m12,1,2018,,
BOL,EIH,,m7_m12,1,2019,,
BOL,EIH,,m7_m12,1,2020,,
BOL,EIH,,m7_m12,1,2021,,
BOL,EIH,,m7_m12,1,2022,,
BOL,EIH,,m6,1,1986,,
BOL,EIH,,m6,1,1989,,
BOL,EIH,,m6,1,1990,,
BOL,EIH,,m6,1,1991,,
BOL,EIH,,m6,1,1992,,
BOL,EIH,,m6,1,1993,,
BOL,EIH,,m6,1,1994,,
BOL,EIH,,m6,1,1995,1.0,
BOL,EIH,,m6,1,1996,,
BOL,EIH,,m6,1,1997,,
BOL,EIH,,m6,1,1998,,
BOL,EIH,,m6,1,1999,,
BOL,EIH,,m6,1,2000,,
BOL,EIH,,m6,1,2001,,
BOL,EIH,,m6,1,2002,,
BOL,EIH,,m6,1,2003,,
BOL,EIH,,m6,1,2004,,
BOL,EIH,,m6,1,2005,,
BOL,EIH,,m6,1,2006,,
BOL,EIH,,m6,1,2007,,
BOL,EIH,,m6,1,2008,,
BOL,EIH,,m6,1,2009,,
BOL,EIH,,m6,1,2010,,
BOL,EIH,,m6,1,2011,,
BOL,EIH,,m6,1,2012,,
BOL,EIH,,m6,1,2013,,
BOL,EIH,,m6,1,2014,,
BOL,EIH,,m6,1,2015,,
BOL,EIH,,m6,1,2016,,
BOL,EIH,,m6,1,2017,,
BOL,EIH,,m6,1,2018,,
BOL,EIH,,m6,1,2019,,
BOL,EIH,,m6,1,2020,,
BOL,EIH,,m6,1,2021,,
BOL,EIH,,m6,1,2022,,
BOL,ENE,,m6,1,1986,,
BOL,ENE,,m6,1,1989,,
BOL,ENE,,m6,1,1990,,
BOL,ENE,,m6,1,1991,,
BOL,ENE,,m6,1,1992,,
BOL,ENE,,m6,1,1993,,
BOL,ENE,,m6,1,1994,,
BOL,ENE,,m6,1,1995,,
BOL,ENE,,m6,1,1996,1.0,
BOL,ENE,,m6,1,1997,,
BOL,ENE,,m6,1,1998,,
BOL,ENE,,m6,1,1999,,
BOL,ENE,,m6,1,2000,,
BOL,ENE,,m6,1,2001,,
BOL,ENE,,m6,1,2002,,
BOL,ENE,,m6,1,2003,,
BOL,ENE,,m6,1,2004,,
BOL,ENE,,m6,1,2005,,
BOL,ENE,,m6,1,2006,,
BOL,ENE,,m6,1,2007,,
BOL,ENE,,m6,1,2008,,
BOL,ENE,,m6,1,2009,,
BOL,ENE,,m6,1,2010,,
BOL,ENE,,m6,1,2011,,
BOL,ENE,,m6,1,2012,,
BOL,ENE,,m6,1,2013,,
BOL,ENE,,m6,1,2014,,
BOL,ENE,,m6,1,2015,,
BOL,ENE,,m6,1,2016,,
BOL,ENE,,m6,1,2017,,
BOL,ENE,,m6,1,2018,,
BOL,ENE,,m6,1,2019,,
BOL,ENE,,m6,1,2020,,
BOL,ENE,,m6,1,2021,,
BOL,ENE,,m6,1,2022,,
BOL,ENE,,m11,1,1986,,
BOL,ENE,,m11,1,1989,,
BOL,ENE,,m11,1,1990,,
BOL,ENE,,m11,1,1991,,
BOL,ENE,,m11,1,1992,,
BOL,ENE,,m11,1,1993,,
BOL,ENE,,m11,1,1994,,
BOL,ENE,,m11,1,1995,,
BOL,ENE,,m11,1,1996,,
BOL,ENE,,m11,1,1997,1.0,
BOL,ENE,,m11,1,1998,,
BOL,ENE,,m11,1,1999,,
BOL,ENE,,m11,1,2000,,
BOL,ENE,,m11,1,2001,,
BOL,ENE,,m11,1,2002,,
BOL,ENE,,m11,1,2003,,
BOL,ENE,,m11,1,2004,,
BOL,ENE,,m11,1,2005,,
BOL,ENE,,m11,1,2006,,
BOL,ENE,,m11,1,2007,,
BOL,ENE,,m11,1,2008,,
BOL,ENE,,m11,1,2009,,
BOL,ENE,,m11,1,2010,,
BOL,ENE,,m11,1,2011,,
BOL,ENE,,m11,1,2012,,
BOL,ENE,,m11,1,2013,,
BOL,ENE,,m11,1,2014,,
BOL,ENE,,m11,1,2015,,
BOL,ENE,,m11,1,2016,,
BOL,ENE,,m11,1,2017,,
BOL,ENE,,m11,1,2018,,
BOL,ENE,,m11,1,2019,,
BOL,ENE,,m11,1,2020,,
BOL,ENE,,m11,1,2021,,
BOL,ENE,,m11,1,2022,,
BOL,ECH,,m11,12,1986,,
BOL,ECH,,m11,12,1989,,
BOL,ECH,,m11,12,1990,,
BOL,ECH,,m11,12,1991,,
BOL,ECH,,m11,12,1992,,
BOL,ECH,,m11,12,1993,,
BOL,ECH,,m11,12,1994,,
BOL,ECH,,m11,12,1995,,
BOL,ECH,,m11,12,1996,,
BOL,ECH,,m11,12,1997,,
BOL,ECH,,m11,12,1998,,
BOL,ECH,,m11,12,1999,1.0,
BOL,ECH,,m11,12,2000,1.0,David
BOL,ECH,,m11,12,2001,,
BOL,ECH,,m11,12,2002,,
BOL,ECH,,m11,12,2003,,
BOL,ECH,,m11,12,2004,,
BOL,ECH,,m11,12,2005,,
BOL,ECH,,m11,12,2006,,
BOL,ECH,,m11,12,2007,,
BOL,ECH,,m11,12,2008,,
BOL,ECH,,m11,12,2009,,
BOL,ECH,,m11,12,2010,,
BOL,ECH,,m11,12,2011,,
BOL,ECH,,m11_m12,9,2001,1.0,
BOL,ECH,,m11_m12,9,2002,1.0,
BOL,ECH,,a2003-a2004,9,2003,1.0,
BOL,ECH,,m11_m12,9,2005,1.0,
BOL,ECH,,m11_m12,9,2006,1.0,
BOL,ECH,,m11_m12,9,2007,1.0,
BOL,ECH,,m11_m12,9,2008,1.0,
BOL,ECH,,m11_m12,9,2009,1.0,
BOL,ECH,,m11_m12,9,2011,1.0,
BOL,ECH,,m11,12,2012,1.0,
BOL,ECH,,m11,12,2022,,
BOL,ECH,,m11,12,2022,,
BOL,ECH,,m11_m12,9,1986,,
BOL,ECH,,m11_m12,9,1989,,
BOL,ECH,,m11_m12,9,1990,,
BOL,ECH,,m11_m12,9,1991,,
BOL,ECH,,m11_m12,9,1992,,
BOL,ECH,,m11_m12,9,1993,,
BOL,ECH,,m11_m12,9,1994,,
BOL,ECH,,m11_m12,9,1995,,
BOL,ECH,,m11_m12,9,1996,,
BOL,ECH,,m11_m12,9,1997,,
BOL,ECH,,m11_m12,9,1998,,
BOL,ECH,,m11_m12,9,1999,,
BOL,ECH,,m11_m12,9,2000,,
BOL,ECH,,m11,12,2013,1.0,
BOL,ECH,,m11,12,2014,1.0,
BOL,ECH,,m11,12,2015,1.0,
BOL,ECH,,m11_m12,9,2004,,
BOL,ECH,,m11,12,2016,1.0,
BOL,ECH,,m11,12,2017,1.0,
BOL,ECH,,m11,12,2018,1.0,
BOL,ECH,,m11,12,2019,1.0,
BOL,ECH,,m11,12,2020,1.0,
BOL,ECH,,m11_m12,9,2010,,
BOL,ECH,,m11,12,2021,1.0,
BOL,ECH,,m11_m12,9,2012,,
BOL,ECH,,m11_m12,9,2013,,
BOL,ECH,,m11_m12,9,2014,,
BOL,ECH,,m11_m12,9,2015,,
BOL,ECH,,m11_m12,9,2016,,
BOL,ECH,,m11_m12,9,2017,,
BOL,ECH,,m11_m12,9,2018,,
BOL,ECH,,m11_m12,9,2019,,
BOL,ECH,,m11_m12,9,2020,,
BOL,ECH,,m11_m12,9,2021,,
BOL,ECH,,m10_m12,9,2022,1.0,
BOL,ECH,,m11_m12,9,2023,1.0,Davidv2
BRA,PNAD,public,m9,22,1986,,
BRA,PNAD,public,m9,22,1989,,
BRA,PNAD,,m9,22,1990,1.0,
BRA,PNAD,public,m9,22,1991,,
BRA,PNAD,,m9,22,1992,1.0,
BRA,PNAD,,m9,22,1993,1.0,
BRA,PNAD,public,m9,22,1994,,
BRA,PNAD,,m9,22,1995,1.0,
BRA,PNAD,,m9,22,1996,1.0,
BRA,PNAD,,m9,22,1997,1.0,
BRA,PNAD,,m9,22,1998,1.0,
BRA,PNAD,,m9,22,1999,1.0,
BRA,PNAD,public,m9,22,2000,,
BRA,PNAD,,m9,22,2001,1.0,
BRA,PNAD,,m9,22,2002,1.0,
BRA,PNAD,,m9,22,2003,1.0,
BRA,PNAD,,m9,22,2004,1.0,
BRA,PNAD,,m9,22,2005,1.0,
BRA,PNAD,,m9,22,2006,1.0,
BRA,PNAD,,m9,22,2007,1.0,
BRA,PNAD,,m9,22,2008,1.0,
BRA,PNAD,,m9,22,2009,1.0,
BRA,PNAD,public,m9,22,2010,,
BRA,PNAD,,m9,22,2011,1.0,
BRA,PNAD,,m9,22,2012,1.0,
BRA,PNAD,,m9,22,2013,1.0,
BRA,PNAD,,m9,22,2014,1.0,Isla
BRA,PNAD,,m9,22,2015,1.0,Isla
BRA,PNAD,public,m9,22,2016,,
BRA,PNAD,public,m9,22,2017,,
BRA,PNAD,public,m9,22,2018,,
BRA,PNAD,public,m9,22,2019,,
BRA,PNAD,public,m9,22,2020,,
BRA,PNAD,public,m9,22,2021,,
BRA,PNAD,public,m9,22,2022,,
BRA,PNADC,public,a,6,1986,,
BRA,PNADC,public,a,6,1989,,
BRA,PNADC,public,a,6,1990,,
BRA,PNADC,public,a,6,1991,,
BRA,PNADC,public,a,6,1992,,
BRA,PNADC,public,a,6,1993,,
BRA,PNADC,public,a,6,1994,,
BRA,PNADC,public,a,6,1995,,
BRA,PNADC,public,a,6,1996,,
BRA,PNADC,public,a,6,1997,,
BRA,PNADC,public,a,6,1998,,
BRA,PNADC,public,a,6,1999,,
BRA,PNADC,public,a,6,2000,,
BRA,PNADC,public,a,6,2001,,
BRA,PNADC,public,a,6,2002,,
BRA,PNADC,public,a,6,2003,,
BRA,PNADC,public,a,6,2004,,
BRA,PNADC,public,a,6,2005,,
BRA,PNADC,public,a,6,2006,,
BRA,PNADC,public,a,6,2007,,
BRA,PNADC,public,a,6,2008,,
BRA,PNADC,public,a,6,2009,,
BRA,PNADC,public,a,6,2010,,
BRA,PNADC,public,a,6,2011,,
BRA,PNADC,public,a,6,2012,,
BRA,PNADC,public,a,6,2013,,
BRA,PNADC,public,a,6,2014,,
BRA,PNADC,public,a,6,2015,,
BRA,PNADC,,a,6,2016,1.0,Isla
BRA,PNADC,,a,6,2017,1.0,Isla
BRA,PNADC,,a,6,2018,1.0,Isla
BRA,PNADC,,a,6,2019,1.0,Isla
BRA,PNADC,,a,6,2020,1.0,Isla
BRA,PNADC,,a,6,2021,1.0,Isla
BRA,PNADC,,a,6,2022,1.0,Isla
BRA,PNADC,,a,6,2023,1.0,Isla
BRA,PNADC,,a,6,2024,1.0,Davidv2
BRB,CLFS,restricted,a,13,1986,,
BRB,CLFS,restricted,a,13,1989,,
BRB,CLFS,restricted,a,13,1990,,
BRB,CLFS,restricted,a,13,1991,,
BRB,CLFS,restricted,a,13,1992,,
BRB,CLFS,restricted,a,13,1993,,
BRB,CLFS,restricted,a,13,1994,,
BRB,CLFS,restricted,a,13,1995,,
BRB,CLFS,restricted,a,13,1996,,
BRB,CLFS,restricted,a,13,1997,,
BRB,CLFS,restricted,a,13,1998,,
BRB,CLFS,restricted,a,13,1999,,
BRB,CLFS,,a,13,2000,1.0,David
BRB,CLFS,restricted,a,13,2001,,
BRB,CLFS,restricted,a,13,2002,,
BRB,CLFS,restricted,a,13,2003,,
BRB,CLFS,,a,13,2004,1.0,
BRB,CLFS,,a,13,2005,1.0,
BRB,CLFS,,a,13,2006,1.0,
BRB,CLFS,,a,13,2007,1.0,
BRB,CLFS,,a,13,2008,1.0,
BRB,CLFS,,a,13,2009,1.0,
BRB,CLFS,,a,13,2010,1.0,
BRB,CLFS,,a,13,2011,1.0,
BRB,CLFS,,a,13,2012,1.0,
BRB,CLFS,,a,13,2013,1.0,
BRB,CLFS,,a,13,2014,1.0,
BRB,CLFS,,a,13,2015,1.0,
BRB,CLFS,restricted,a,13,2016,,
BRB,CLFS,restricted,a,13,2017,,
BRB,CLFS,restricted,a,13,2018,,
BRB,CLFS,restricted,a,13,2019,,
BRB,CLFS,restricted,a,13,2020,,
BRB,CLFS,restricted,a,13,2021,,
BRB,CLFS,restricted,a,13,2022,,
BRB,CLFS,restricted,m1_m6,1,1986,,
BRB,CLFS,restricted,m1_m6,1,1989,,
BRB,CLFS,restricted,m1_m6,1,1990,,
BRB,CLFS,restricted,m1_m6,1,1991,,
BRB,CLFS,restricted,m1_m6,1,1992,,
BRB,CLFS,restricted,m1_m6,1,1993,,
BRB,CLFS,restricted,m1_m6,1,1994,,
BRB,CLFS,restricted,m1_m6,1,1995,,
BRB,CLFS,restricted,m1_m6,1,1996,,
BRB,CLFS,restricted,m1_m6,1,1997,,
BRB,CLFS,restricted,m1_m6,1,1998,,
BRB,CLFS,restricted,m1_m6,1,1999,,
BRB,CLFS,restricted,m1_m6,1,2000,,
BRB,CLFS,restricted,m1_m6,1,2001,,
BRB,CLFS,restricted,m1_m6,1,2002,,
BRB,CLFS,restricted,m1_m6,1,2003,,
BRB,CLFS,restricted,m1_m6,1,2004,,
BRB,CLFS,restricted,m1_m6,1,2005,,
BRB,CLFS,restricted,m1_m6,1,2006,,
BRB,CLFS,restricted,m1_m6,1,2007,,
BRB,CLFS,restricted,m1_m6,1,2008,,
BRB,CLFS,restricted,m1_m6,1,2009,,
BRB,CLFS,restricted,m1_m6,1,2010,,
BRB,CLFS,restricted,m1_m6,1,2011,,
BRB,CLFS,restricted,m1_m6,1,2012,,
BRB,CLFS,restricted,m1_m6,1,2013,,
BRB,CLFS,restricted,m1_m6,1,2014,,
BRB,CLFS,restricted,m1_m6,1,2015,,
BRB,CLFS,,m1_m6,1,2016,1.0,
BRB,BSLC,,a,1,2024,1.0,David
BRB,CLFS,restricted,m1_m6,1,2017,,
BRB,CLFS,restricted,m1_m6,1,2018,,
BRB,CLFS,restricted,m1_m6,1,2019,,
BRB,CLFS,restricted,m1_m6,1,2020,,
BRB,CLFS,restricted,m1_m6,1,2021,,
BRB,CLFS,restricted,m1_m6,1,2022,,
CHL,CASEN,,m11_m12,9,1986,,
CHL,CASEN,,m11_m12,9,1989,,
CHL,CASEN,,m11_m12,9,1990,1.0,
